,alpha
2015-01-28,130.97443994242732
2015-01-29,129.67486112988806
2015-01-30,132.5775260893123
2015-02-02,135.9803957884004
2015-02-03,134.75370638015923
2015-02-04,135.83737168955483
2015-02-05,136.69971767946245
2015-02-06,135.0095625137545
2015-02-09,134.96122800656607
2015-02-10,133.46448099175794
2015-02-11,134.80155143118157
2015-02-12,137.6377917809528
2015-02-13,139.53124641661267
2015-02-17,138.17707490813186
2015-02-18,142.0451111549716
2015-02-19,141.68049325736396
2015-02-20,141.07560091721226
2015-02-23,141.27500492925202
2015-02-24,142.0181663622604
2015-02-25,143.8601428304128
2015-02-26,143.38529643861273
2015-02-27,142.57723096238576
2015-03-02,142.45135962649098
2015-03-03,144.56499719629358
2015-03-04,145.19464852331646
2015-03-05,143.1374317289922
2015-03-06,141.7429098821869
2015-03-09,139.6666373520604
2015-03-10,138.38065515849897
2015-03-11,139.24270488126808
2015-03-12,135.01556060657757
2015-03-13,135.43011597263177
2015-03-16,136.05396721676416
2015-03-17,136.76792626237082
2015-03-18,139.3684336488206
2015-03-19,139.69729644904965
2015-03-20,142.19674777743927
2015-03-23,141.7723467549453
2015-03-24,141.9808639443555
2015-03-25,141.34416384079913
2015-03-26,144.53810889026906
2015-03-27,145.97693174237654
2015-03-30,146.62992085220844
2015-03-31,147.66196743238743
2015-04-01,149.02741494498687
2015-04-02,149.67950885191803
2015-04-06,150.7103094081733
2015-04-07,151.06835158741438
2015-04-08,154.1301958767331
2015-04-09,153.9282886544118
2015-04-10,153.62599433317197
2015-04-13,154.49341329150963
2015-04-14,156.11813297105527
2015-04-15,154.8899884101198
2015-04-16,152.78705178701964
2015-04-17,154.54115740382605
2015-04-20,156.92850923144127
2015-04-21,157.4611626976945
2015-04-22,159.01554874229043
2015-04-23,160.4189031954634
2015-04-24,161.6349356827916
2015-04-27,161.7900406668647
2015-04-28,160.14795327447428
2015-04-29,160.4891126798328
2015-04-30,159.20321160736907
2015-05-01,160.72185774198874
2015-05-04,159.2062517349721
2015-05-05,159.15073891154208
2015-05-06,159.3154815686236
2015-05-07,161.2037754260582
2015-05-08,159.76693669829223
2015-05-11,158.74505200105176
2015-05-12,161.85285607502757
2015-05-13,161.34148596317357
2015-05-14,161.5666493173706
2015-05-15,161.89198736274963
2015-05-18,161.8310883796986
2015-05-19,161.1256544897317
2015-05-20,161.5868822880111
2015-05-21,161.5461578825644
2015-05-22,161.10220017136118
2015-05-26,158.5342905143465
2015-05-27,158.38051786201365
2015-05-28,158.4604621831825
2015-05-29,158.09920985223684
2015-06-01,158.99889376585585
2015-06-02,160.87396763727557
2015-06-03,158.72241638671008
2015-06-04,157.0489486340489
2015-06-05,158.220645414573
2015-06-08,156.47411977085613
2015-06-09,159.0232366416322
2015-06-10,160.09161471146365
2015-06-11,160.4055111339103
2015-06-12,160.18531811852634
2015-06-15,159.97205216040376
2015-06-16,160.06082324362686
2015-06-17,160.4746253133624
2015-06-18,159.05238456424354
2015-06-19,160.7236670228097
2015-06-22,163.05322913465594
2015-06-23,163.75863969989393
2015-06-24,162.8003990345827
2015-06-25,160.59451844379004
2015-06-26,161.3283931176711
2015-06-29,161.7232513767301
2015-06-30,161.64415125896826
2015-07-01,160.31323981014785
2015-07-02,157.46527897923198
2015-07-06,155.99733140766227
2015-07-07,153.5798203636634
2015-07-08,157.19866386293063
2015-07-09,160.02253077440588
2015-07-10,160.21974906800986
2015-07-13,161.3782286577371
2015-07-14,161.97404778580307
2015-07-15,160.92014966477717
2015-07-16,159.4189848196618
2015-07-17,158.31339786500993
2015-07-20,157.33488561003867
2015-07-21,156.52027390161206
2015-07-22,155.4942009096117
2015-07-23,154.09335834580824
2015-07-24,151.2922142075865
2015-07-27,153.40472970733126
2015-07-28,156.4085484483958
2015-07-29,155.9383797588489
2015-07-30,158.12514482619588
2015-07-31,158.94579950611814
2015-08-03,158.4279322588096
2015-08-04,159.3954731163235
2015-08-05,152.8472226631573
2015-08-06,154.51868783739462
2015-08-07,155.95449102999763
2015-08-10,156.68251614565474
